"threshold_sd","threshold_days","moving_average_days","majorLossThresh","bic"
2.4,7,12,1,-490.536238908302
2.5,7,12,1,-560.818477102717
2.6,7,12,1,-751.267390335075
2.7,7,12,1,-905.412258811394
2.8,7,12,1,Inf
2.9,7,12,1,Inf
3,7,12,1,Inf
3.1,7,12,1,Inf
3.2,7,12,1,Inf
3.3,7,12,1,Inf
3.4,7,12,1,Inf
3.5,7,12,1,Inf
3.6,7,12,1,Inf
3.7,7,12,1,Inf
3.8,7,12,1,Inf
3.9,7,12,1,Inf
4,7,12,1,Inf
2,8,12,1,-80.6557744701271
2.1,8,12,1,-147.117542832123
2.2,8,12,1,-266.953595927755
2.3,8,12,1,-333.846252265479
2.4,8,12,1,-488.534663286525
2.5,8,12,1,-557.642902015568
2.6,8,12,1,-748.637972733738
2.7,8,12,1,-902.317983612162
2.8,8,12,1,Inf
2.9,8,12,1,Inf
3,8,12,1,Inf
3.1,8,12,1,Inf
3.2,8,12,1,Inf
3.3,8,12,1,Inf
3.4,8,12,1,Inf
3.5,8,12,1,Inf
3.6,8,12,1,Inf
3.7,8,12,1,Inf
3.8,8,12,1,Inf
3.9,8,12,1,Inf
4,8,12,1,Inf
2,9,12,1,-78.8142343961959
2.1,9,12,1,-145.982901477896
2.2,9,12,1,-257.262567018453
2.3,9,12,1,-339.256208925841
2.4,9,12,1,-486.561134769071
2.5,9,12,1,-546.997508458004
2.6,9,12,1,-746.040561948499
2.7,9,12,1,-899.242337564508
2.8,9,12,1,Inf
2.9,9,12,1,Inf
3,9,12,1,Inf
3.1,9,12,1,Inf
3.2,9,12,1,Inf
3.3,9,12,1,Inf
3.4,9,12,1,Inf
3.5,9,12,1,Inf
3.6,9,12,1,Inf
3.7,9,12,1,Inf
3.8,9,12,1,Inf
3.9,9,12,1,Inf
4,9,12,1,Inf
2,10,12,1,-78.5620272631644
2.1,10,12,1,-147.318736159486
2.2,10,12,1,-263.561500712025
2.3,10,12,1,-337.360670714026
2.4,10,12,1,-484.618999769051
2.5,10,12,1,-544.467474454062
2.6,10,12,1,-743.478728924132
2.7,10,12,1,-896.219950029913
2.8,10,12,1,Inf
2.9,10,12,1,Inf
3,10,12,1,Inf
3.1,10,12,1,Inf
3.2,10,12,1,Inf
3.3,10,12,1,Inf
3.4,10,12,1,Inf
3.5,10,12,1,Inf
3.6,10,12,1,Inf
3.7,10,12,1,Inf
3.8,10,12,1,Inf
3.9,10,12,1,Inf
4,10,12,1,Inf
2,11,12,1,-76.7415511999139
2.1,11,12,1,-136.986177908938
2.2,11,12,1,-261.86944238728
2.3,11,12,1,-331.853498445789
2.4,11,12,1,-482.712217101698
2.5,11,12,1,-546.097839523848
2.6,11,12,1,-736.227499749981
2.7,11,12,1,-895.401128062637
2.8,11,12,1,Inf
2.9,11,12,1,Inf
3,11,12,1,Inf
3.1,11,12,1,Inf
3.2,11,12,1,Inf
3.3,11,12,1,Inf
3.4,11,12,1,Inf
3.5,11,12,1,Inf
3.6,11,12,1,Inf
3.7,11,12,1,Inf
3.8,11,12,1,Inf
3.9,11,12,1,Inf
4,11,12,1,Inf
2,3,13,1,-84.8399261965694
2.1,3,13,1,-155.347690563201
2.2,3,13,1,-273.769503883211
2.3,3,13,1,-392.979618714234
2.4,3,13,1,-440.78216647441
2.5,3,13,1,-655.084606066326
2.6,3,13,1,-761.338818598484
2.7,3,13,1,-910.611787199456
2.8,3,13,1,-919.237370741066
2.9,3,13,1,-1184.40196593564
3,3,13,1,Inf
3.1,3,13,1,Inf
3.2,3,13,1,Inf
3.3,3,13,1,Inf
3.4,3,13,1,Inf
3.5,3,13,1,Inf
3.6,3,13,1,Inf
3.7,3,13,1,Inf
3.8,3,13,1,Inf
3.9,3,13,1,Inf
4,3,13,1,Inf
2,4,13,1,-87.1484646982548
2.1,4,13,1,-154.015087143087
2.2,4,13,1,-272.061579630843
2.3,4,13,1,-390.95303688919
2.4,4,13,1,-437.311039446039
2.5,4,13,1,-650.257694023747
2.6,4,13,1,-761.537718947423
2.7,4,13,1,-907.751338003775
2.8,4,13,1,-915.824284471249
2.9,4,13,1,-1180.29572220292
3,4,13,1,Inf
3.1,4,13,1,Inf
3.2,4,13,1,Inf
3.3,4,13,1,Inf
3.4,4,13,1,Inf
3.5,4,13,1,Inf
3.6,4,13,1,Inf
3.7,4,13,1,Inf
3.8,4,13,1,Inf
3.9,4,13,1,Inf
4,4,13,1,Inf
2,5,13,1,-86.0053230023868
2.1,5,13,1,-152.68659532177
2.2,5,13,1,-270.356282264822
2.3,5,13,1,-385.22365522401
2.4,5,13,1,-438.918045530014
2.5,5,13,1,-646.577006011691
2.6,5,13,1,-758.532739777136
2.7,5,13,1,-904.810654121382
2.8,5,13,1,-912.413822876736
2.9,5,13,1,-1176.19210309144
3,5,13,1,Inf
3.1,5,13,1,Inf
3.2,5,13,1,Inf
3.3,5,13,1,Inf
3.4,5,13,1,Inf
3.5,5,13,1,Inf
3.6,5,13,1,Inf
3.7,5,13,1,Inf
3.8,5,13,1,Inf
3.9,5,13,1,Inf
4,5,13,1,Inf
2,6,13,1,-84.8664930589222
2.1,6,13,1,-151.362264210538
2.2,6,13,1,-264.829417964102
2.3,6,13,1,-370.184468218787
2.4,6,13,1,-436.763137189321
2.5,6,13,1,-643.160937061253
2.6,6,13,1,-755.530392280719
2.7,6,13,1,-901.89614159013
2.8,6,13,1,-909.005992864589
2.9,6,13,1,-1172.09111550785
3,6,13,1,Inf
3.1,6,13,1,Inf
3.2,6,13,1,Inf
3.3,6,13,1,Inf
3.4,6,13,1,Inf
3.5,6,13,1,Inf
3.6,6,13,1,Inf
3.7,6,13,1,Inf
3.8,6,13,1,Inf
3.9,6,13,1,Inf
4,6,13,1,Inf
2,7,13,1,-81.8694558571008
2.1,7,13,1,-142.895903027576
2.2,7,13,1,-263.724795443163
2.3,7,13,1,-382.092924187262
2.4,7,13,1,-433.113453628288
2.5,7,13,1,-640.381049508376
2.6,7,13,1,-752.53068340241
2.7,7,13,1,-898.863295021447
2.8,7,13,1,-905.600801378313
2.9,7,13,1,-1167.99276639521
3,7,13,1,Inf
3.1,7,13,1,Inf
3.2,7,13,1,Inf
3.3,7,13,1,Inf
3.4,7,13,1,Inf
3.5,7,13,1,Inf
3.6,7,13,1,Inf
3.7,7,13,1,Inf
3.8,7,13,1,Inf
3.9,7,13,1,Inf
4,7,13,1,Inf
2,8,13,1,-75.1668913296619
2.1,8,13,1,-148.726288912244
2.2,8,13,1,-262.696253917138
2.3,8,13,1,-379.22207373027
2.4,8,13,1,-429.9315569658
2.5,8,13,1,-641.511436165948
2.6,8,13,1,-749.533620123189
2.7,8,13,1,-895.659375644623
2.8,8,13,1,-898.466577945733
2.9,8,13,1,-1163.89706273335
3,8,13,1,Inf
3.1,8,13,1,Inf
3.2,8,13,1,Inf
3.3,8,13,1,Inf
3.4,8,13,1,Inf
3.5,8,13,1,Inf
3.6,8,13,1,Inf
3.7,8,13,1,Inf
3.8,8,13,1,Inf
3.9,8,13,1,Inf
4,8,13,1,Inf
2,9,13,1,-82.5301375350876
2.1,9,13,1,-147.41475153687
2.2,9,13,1,-255.934895591407
2.3,9,13,1,-372.76858391974
2.4,9,13,1,-426.977594721891
2.5,9,13,1,-638.804732468425
2.6,9,13,1,-746.539209461076
2.7,9,13,1,-892.397669545632
2.8,9,13,1,-895.358211150342
2.9,9,13,1,-1159.80401153909
3,9,13,1,Inf
3.1,9,13,1,Inf
3.2,9,13,1,Inf
3.3,9,13,1,Inf
3.4,9,13,1,Inf
3.5,9,13,1,Inf
3.6,9,13,1,Inf
3.7,9,13,1,Inf
3.8,9,13,1,Inf
3.9,9,13,1,Inf
4,9,13,1,Inf
2,10,13,1,-76.7090094913543
2.1,10,13,1,-146.107588666231
2.2,10,13,1,-261.86944238728
2.3,10,13,1,-363.871934531755
2.4,10,13,1,-428.1699676051
2.5,10,13,1,-636.100688576664
2.6,10,13,1,-743.547458471425
2.7,10,13,1,-893.354303847595
2.8,10,13,1,-892.29695853589
2.9,10,13,1,-1155.71361986659
3,10,13,1,Inf
3.1,10,13,1,Inf
3.2,10,13,1,Inf
3.3,10,13,1,Inf
3.4,10,13,1,Inf
3.5,10,13,1,Inf
3.6,10,13,1,Inf
3.7,10,13,1,Inf
3.8,10,13,1,Inf
3.9,10,13,1,Inf
4,10,13,1,Inf
2,11,13,1,-76.2847947539898
2.1,11,13,1,-144.804858515217
2.2,11,13,1,-260.180053053303
